rank,proc_id,technology,category,symptoms_collapsed,steps,specific_steps,generic_only,action,representative_title,first_command
1,p-6c409f89,Kubernetes,Pods & Containers,115,4,2,False,SPLIT - one sequence is covering too many symptoms,Pod stuck in ContainerCreating,kubectl get pod <x> -n <x> -o wide
2,p-7b0764d0,Kubernetes,"Ingress, Gateway & TLS",40,4,4,False,SPLIT - one sequence is covering too many symptoms,Ingress returns 404,kubectl get ingress -n <x> -o wide
3,p-737408ba,Kubernetes,Scheduling,35,4,3,False,SPLIT - one sequence is covering too many symptoms,Pod Pending due to insufficient CPU,kubectl describe pod <x> -n <x>
4,p-0d1b6918,Kubernetes,DNS & CoreDNS,34,4,4,False,SPLIT - one sequence is covering too many symptoms,CoreDNS pods are CrashLooping,kubectl get pods -n kube-system -l k8s-app=kube-dns -o wide
5,p-03c10af2,Kubernetes,Services & EndpointSlices,34,4,4,False,SPLIT - one sequence is covering too many symptoms,Service has no EndpointSlices,kubectl get svc <x> -n <x> -o yaml
6,p-23dae24f,Kubernetes,Network & NetworkPolicy,24,4,3,False,SPLIT - one sequence is covering too many symptoms,Pod-to-pod traffic fails same namespace,kubectl get pod <x> -n <x> -o wide
7,p-0844d55c,Docker,"Registry, Auth & TLS",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"Registry login — Registry, Auth & TLS: fails completely",docker pull <x>
8,p-1027bd72,Docker,Build Context & .dockerignore,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Build context size — Build Context & .dockerignore: fails completely,docker buildx build --progress=plain -f <x> <x>
9,p-76e47f16,Docker,BuildKit & Cache,21,4,4,False,SPLIT - one sequence is covering too many symptoms,BuildKit cache reuse — BuildKit & Cache: fails completely,docker buildx inspect --bootstrap
10,p-4b22e5c0,Docker,Buildx & Multi-platform,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Selected builder — Buildx & Multi-platform: fails completely,docker buildx ls
11,p-33e29505,Docker,"DNS, Proxy & Egress",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"Container DNS — DNS, Proxy & Egress: fails completely",docker inspect <x> --format 'dns={{json .hostconfig.dns}} search={{json .hostconfig.dnssearch}} extrahosts={{json .hostconfig.extrahosts}}'
12,p-c451aab4,Docker,"Security, Users & Capabilities",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"Container user/UID — Security, Users & Capabilities: fails completely",docker inspect <x> --format 'user={{.config.user}} privileged={{.hostconfig.privileged}} readonlyrootfs={{.hostconfig.readonlyrootfs}} capadd={{json .hostconfig.capadd}} capdrop={{json .hostconfig.capdrop}} securityopt={{json .hostconfig.securityopt}}'
13,p-db74e7d9,Docker,Engine & Daemon,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Daemon startup — Engine & Daemon: fails completely,docker version
14,p-f28e764b,Docker,Container Lifecycle,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Container startup — Container Lifecycle: fails completely,docker inspect <x> --format '{{json .state}}'
15,p-82cfff14,Docker,"Entrypoint, PID 1 & Signals",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"ENTRYPOINT executable — Entrypoint, PID 1 & Signals: fails completely",docker image inspect <x> --format 'entrypoint={{json .config.entrypoint}} cmd={{json .config.cmd}} stopsignal={{.config.stopsignal}} user={{.config.user}} workingdir={{.config.workingdir}}'
16,p-79c51095,Docker,Health & Restart Policies,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Healthcheck command — Health & Restart Policies: fails completely,docker inspect <x> --format '{{json .state.health}}'
17,p-dd3ccf16,Docker,"Logs, Exec & Debugging",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"Docker logs output — Logs, Exec & Debugging: fails completely",docker inspect <x> --format '{{.hostconfig.logconfig.type}} {{json .hostconfig.logconfig.config}}'
18,p-0cc8ebd6,Docker,"CPU, Memory & Cgroups",21,4,4,False,SPLIT - one sequence is covering too many symptoms,"Memory limit — CPU, Memory & Cgroups: fails completely",docker stats --no-stream <x>
19,p-fd997bea,Docker,Networking & Port Publishing,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Published TCP port — Networking & Port Publishing: fails completely,docker port <x>
20,p-12f3e8e5,Docker,Volumes & Bind Mounts,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Named volume — Volumes & Bind Mounts: fails completely,docker inspect <x> --format '{{json .mounts}}'
21,p-b368184d,Docker,Storage Driver & Disk,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Docker data-root capacity — Storage Driver & Disk: fails completely,docker system df -v
22,p-8e7aa277,Docker,Images & Local Image Store,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Image tag — Images & Local Image Store: fails completely,docker image inspect <x>
23,p-caf86c7c,Docker,Dockerfile Semantics,21,4,4,False,SPLIT - one sequence is covering too many symptoms,CMD/ENTRYPOINT interaction — Dockerfile Semantics: fails completely,docker image inspect <x> --format 'entrypoint={{json .config.entrypoint}} cmd={{json .config.cmd}} user={{.config.user}} workingdir={{.config.workingdir}}'
24,p-ce3b88b3,Docker,Compose Configuration,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Compose interpolation — Compose Configuration: fails completely,docker compose config
25,p-f3697f20,Docker,Compose Runtime & Dependencies,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Compose service startup — Compose Runtime & Dependencies: fails completely,docker compose ps -a
26,p-a52a0051,Docker,Rootless Docker,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Rootless daemon — Rootless Docker: fails completely,docker context show
27,p-2737ac0c,Docker,Host Integration & Performance,21,4,4,False,SPLIT - one sequence is covering too many symptoms,Host firewall/VPN — Host Integration & Performance: fails completely,docker info
28,p-ef8df8eb,Kubernetes,Workloads & Rollouts,18,4,4,False,SPLIT - one sequence is covering too many symptoms,Deployment rollout exceeds progress deadline,kubectl get deployment <x> -n <x> -o wide
29,p-76e79ec7,Kubernetes,Control Plane & Cluster Health,16,4,4,False,SPLIT - one sequence is covering too many symptoms,API server unreachable from kubectl,kubectl get --raw='/readyz?verbose'
30,p-ec6a9d1d,Kubernetes,Advanced Debugging,15,4,3,False,SPLIT - one sequence is covering too many symptoms,Distroless container has no shell,kubectl get pod <x> -n <x> -o yaml
31,p-f7185c19,Kubernetes,Image & Registry,15,4,2,False,SPLIT - one sequence is covering too many symptoms,ImagePullBackOff registry authentication,kubectl describe pod <x> -n <x>
32,p-0d1d7d28,Kubernetes,Certificates & Authentication,14,4,4,False,SPLIT - one sequence is covering too many symptoms,kubectl x509 certificate expired,kubectl config current-context
33,p-55267951,Kubernetes,Upgrades & API Compatibility,12,4,4,False,SPLIT - one sequence is covering too many symptoms,Manifest uses removed Kubernetes API version,kubectl version
34,p-79cb6a81,Kubernetes,Resource Ownership & Apply,10,4,4,False,SPLIT - one sequence is covering too many symptoms,kubectl apply field manager conflict,kubectl get <x> <x> -n <x> -o yaml
35,p-be88bb37,Kubernetes,Namespaces & Lifecycle,9,4,4,False,MERGE or differentiate,Namespace deletion blocked by API discovery,kubectl get namespace <x> -o yaml
36,p-fcc1c5eb,Kubernetes,Multi-Cluster & Context Safety,8,4,4,False,MERGE or differentiate,kubectl pointed at wrong cluster,kubectl config current-context
37,p-3d6b10ab,Kubernetes,Scheduling,3,4,2,False,MERGE or differentiate,Pod stuck Pending,kubectl get pod <x> -n <x> -o wide
38,p-3b372551,Kubernetes,Scheduling,2,4,3,False,MERGE or differentiate,Pod is evicted,"kubectl get pod <x> -n <x> -o jsonpath='{.status.reason}{"" | ""}{.status.message}{""\n""}'"
39,p-85860c7c,Kubernetes,Configuration,1,3,3,False,VERIFY on cluster,Compare manifest before applying,kubectl apply -f <x> --dry-run=server
40,p-274c0fcb,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,CronJob is suspended,kubectl get cronjob <x> -n <x> -o jsonpath='{.spec.suspend}'
41,p-65350610,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Need to test Service DNS from a disposable pod,kubectl get service <x> -n <x>
42,p-bd0b46dd,Kubernetes,Workloads,1,4,4,False,VERIFY on cluster,Deployment rollback decision,kubectl rollout history deployment/<x> -n <x>
43,p-8a1e7b31,Kubernetes,Nodes,1,5,5,False,VERIFY on cluster,Prepare node for maintenance,kubectl describe node <x>
44,p-be721771,Kubernetes,Scheduling,1,3,1,False,VERIFY on cluster,Pod evicted,kubectl describe pod <x> -n <x>
45,p-2b0d1f83,Kubernetes,Pods,1,4,2,False,VERIFY on cluster,CrashLoopBackOff / pod keeps restarting,kubectl get pod <x> -n <x> -o wide
46,p-e7a636f2,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,ImagePullBackOff / ErrImagePull,kubectl describe pod <x> -n <x>
47,p-2a9488b8,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Pod OOMKilled,kubectl describe pod <x> -n <x>
48,p-cb14654d,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Pod Running but not Ready,kubectl get pod <x> -n <x>
49,p-c6f683e5,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Pod stuck Terminating,kubectl get pod <x> -n <x> -o yaml
50,p-18b3e987,Kubernetes,Storage,1,3,2,False,VERIFY on cluster,Pod cannot mount volume,kubectl describe pod <x> -n <x>
51,p-c17c60c5,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Readiness probe failing,kubectl describe pod <x> -n <x>
52,p-6ae1f4a0,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Liveness probe restarting container,kubectl describe pod <x> -n <x>
53,p-35bdf60d,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Startup probe never succeeds,kubectl describe pod <x> -n <x>
54,p-5b14db42,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Init container failed,kubectl describe pod <x> -n <x>
55,p-0736626c,Kubernetes,Scheduling,1,3,2,False,VERIFY on cluster,Pod cannot schedule because of taint,kubectl describe pod <x> -n <x>
56,p-5e13b105,Kubernetes,Scheduling,1,3,2,False,VERIFY on cluster,Pod cannot schedule because of node selector,kubectl describe pod <x> -n <x>
57,p-c9a14ce8,Kubernetes,Scheduling,1,3,2,False,VERIFY on cluster,Pod cannot schedule because of insufficient CPU,kubectl describe pod <x> -n <x>
58,p-bcf03405,Kubernetes,Scheduling,1,3,2,False,VERIFY on cluster,Pod cannot schedule because of insufficient memory,kubectl describe pod <x> -n <x>
59,p-9adbea74,Kubernetes,Configuration,1,3,2,False,VERIFY on cluster,ConfigMap missing key,kubectl get configmap <x> -n <x> -o yaml
60,p-fe6f84f0,Kubernetes,Configuration,1,3,2,False,VERIFY on cluster,Secret missing key,kubectl describe secret <x> -n <x>
61,p-4eedbd78,Kubernetes,Networking,1,3,2,False,VERIFY on cluster,EndpointSlice shows not-ready endpoints,kubectl get endpointslices -n <x> -l kubernetes.io/service-name=<x> -o yaml
62,p-1d3ba6c6,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Need to find which workload owns a pod,kubectl get pod <x> -n <x> -o jsonpath='{.metadata.ownerreferences}'
63,p-3a0249ca,Kubernetes,Pods,1,3,2,False,VERIFY on cluster,Need to check application logs across all containers,kubectl get pod <x> -n <x> -o jsonpath='{.spec.containers[*].name}'
64,p-5482cbcc,Kubernetes,Storage,1,3,3,False,VERIFY on cluster,PVC remains Pending,kubectl describe pvc <x> -n <x>
65,p-398df1c8,Kubernetes,Nodes,1,3,3,False,VERIFY on cluster,Node NotReady,kubectl get node <x> -o wide
66,p-9323d6eb,Kubernetes,RBAC,1,3,3,False,VERIFY on cluster,Forbidden / RBAC denied,kubectl auth can-i <x> <x> -n <x>
67,p-b4bc9c8c,Kubernetes,Autoscaling,1,3,3,False,VERIFY on cluster,HPA is not scaling,kubectl get hpa <x> -n <x>
68,p-3f4048de,Kubernetes,Batch,1,4,3,False,VERIFY on cluster,Job failed,kubectl describe job <x> -n <x>
69,p-5e6cc0fe,Kubernetes,Batch,1,3,3,False,VERIFY on cluster,CronJob did not run,kubectl describe cronjob <x> -n <x>
70,p-ca7374e0,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,NetworkPolicy may block traffic,kubectl get networkpolicy -n <x>
71,p-debb1429,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Deployment not found or wrong namespace,kubectl get deployments -n <x>
72,p-598319bd,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Deployment status changed unexpectedly,kubectl get deployment <x> -n <x> -o yaml
73,p-f224a7eb,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,Deployment labels or selectors look wrong,kubectl get deployment <x> -n <x> --show-labels
74,p-a3182e11,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,StatefulSet not found or wrong namespace,kubectl get statefulsets -n <x>
75,p-eb8fc744,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,StatefulSet status changed unexpectedly,kubectl get statefulset <x> -n <x> -o yaml
76,p-29d4b560,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,StatefulSet labels or selectors look wrong,kubectl get statefulset <x> -n <x> --show-labels
77,p-e778185f,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,DaemonSet not found or wrong namespace,kubectl get daemonsets -n <x>
78,p-25677c62,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,DaemonSet status changed unexpectedly,kubectl get daemonset <x> -n <x> -o yaml
79,p-522855f5,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,DaemonSet labels or selectors look wrong,kubectl get daemonset <x> -n <x> --show-labels
80,p-e2c120f3,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,ReplicaSet not found or wrong namespace,kubectl get replicasets -n <x>
81,p-5bbd393a,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,ReplicaSet status changed unexpectedly,kubectl get replicaset <x> -n <x> -o yaml
82,p-5effbc60,Kubernetes,Workloads,1,3,3,False,VERIFY on cluster,ReplicaSet labels or selectors look wrong,kubectl get replicaset <x> -n <x> --show-labels
83,p-cef84707,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Service not found or wrong namespace,kubectl get services -n <x>
84,p-8797b894,Kubernetes,Networking,1,3,3,False,VERIFY on cluster,Service status changed unexpectedly,kubectl get service <x> -n <x> -o yaml
